id,hex,name,rws,type,unit,scale,min,max,desc,rule,default,auth
0,0x00,Ctrl:Mode,RWs,enum,0:off 1:ai 2:% 3:rpm 4:Hz,-,-,-,Motor control mode,,ai,guest
1,0x01,Ctrl:Setpoint,RW,rule,rpm/%/Hz,1/100/100,0/0/0,5000/100/300,Setpoint value; interpreted per Ctrl:Mode,switch=Ctrl:Mode,,guest
2,0x02,Auth:SecretHigh,RW,hex,-,-,,,Secret key (high word) for access control,high=SecretKey,,guest
3,0x03,Auth:SecretLow,RW,hex,-,-,,,Secret key (low word) for access control,low=SecretKey,,guest
4,0x04,RS485:Address,RWs,uint,-,1,1,247,RS-485 node address,,1,user
5,0x05,RS485:Baudrate,RWs,uint,bps,0.01,,,RS-485 baud rate,,9600,user
6,0x06,RS485:Parity,RWs,enum,0:none 1:odd 2:even,-,,,RS-485 parity mode,,none,user
7,0x07,RS485:StopBits,RWs,enum,0:0.5bs 1:1bs 2:2bs 3:1.5bs,-,,,RS-485 stop-bit setting,,1bs,user
8,0x08,Speed:Min,RWs,uint,rpm,1,0,10000,Minimum motor speed; below this motor stops,,600/500/400,user
9,0x09,Speed:Max,RWs,uint,rpm,1,0,10000,Maximum motor speed,,3300/2600/1520,user
10,0x0A,Speed:Derating,RWs,uint,rpm,1,0,10000,Speed ceiling under thermal/current derating,,1850/2200/750,user
11,0x0B,AnalogInput:Stop,RWs,uint,V,1000,0,10,AI voltage below which motor stops,,0.7,user
12,0x0C,AnalogInput:Min,RWs,uint,V,1000,0,10,AI voltage mapped to Speed:Min,,1.0,user
13,0x0D,AnalogInput:Max,RWs,uint,V,1000,0,10,AI voltage mapped to Speed:Max,,10.0,user
14,0x0E,Digital:InputMode,RWs,enum,0:off 1:allow 2:reset,-,,,Digital input function,,reset,user
15,0x0F,Digital:RelayMode,RWs,enum,0:off 1:run 2:alarm,-,,,Relay output function,,alarm,user
16,0x10,Digital:LedMode,RWs,enum,0:off 1:fault 2:rs485 3:link 4:update,-,,,Status LED mode,,fault,user
17,0x11,Failsafe:Mode,RWs,enum,0:off 1:ai 2:% 3:rpm 4:Hz,-,,,Mode used when RS-485 communication is lost,,rpm,user
18,0x12,Failsafe:Setpoint,RWs,rule,rpm/%/Hz,1/100/100,0/0/0,5000/100/300,Failsafe setpoint; interpreted per Failsafe:Mode,switch=Failsafe:Mode,0,user
19,0x13,Failsafe:Delay,RWs,uint,s,1,1,600,RS-485 silence time before failsafe activates,,60,user
20,0x14,Resonance:0Low,RWs,uint,rpm,1,0,10000,Resonance skip band 0 lower limit,,0,user
21,0x15,Resonance:0High,RWs,uint,rpm,1,0,10000,Resonance skip band 0 upper limit,,0,user
22,0x16,Resonance:1Low,RWs,uint,rpm,1,0,10000,Resonance skip band 1 lower limit,,0,user
23,0x17,Resonance:1High,RWs,uint,rpm,1,0,10000,Resonance skip band 1 upper limit,,0,user
24,0x18,Resonance:2Low,RWs,uint,rpm,1,0,10000,Resonance skip band 2 lower limit,,0,user
25,0x19,Resonance:2High,RWs,uint,rpm,1,0,10000,Resonance skip band 2 upper limit,,0,user
28,0x1C,Journal:Skip,W,uint,-,1,0,65535,Skip first N records in journal query (0 = skip nothing),,,guest
29,0x1D,Journal:Read,W,bits,0:boot 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link 12:st 13:sp 14:perm 15:ftr,-,,,Journal read trigger; each set bit selects an event type (0xFFFF = everything),,,guest
30,0x1E,Fault:Reset,W,enum,0:none 1:soft 2:hard 3:fcty,-,,,soft: reinit interfaces; hard: reboot both MCUs; fcty: hard reset and wipe stored config,,,service
31,0x1F,Fault:Clear,W,bool,-,-,,,Write 1 to clear Fault:Code,,,guest
32,0x20,Fault:Code,R,enum,0:ok 1:peak 2:imax 3:irms 4:stall 5:temp 6:hv- 7:hv+ 8:lv- 9:lv+ 10:sync 11:link,-,,,Active fault code,,,-
33,0x21,Auth:Access,R,enum,0:guest 1:user 2:service 3:admin,-,,,Current access level,,,-
34,0x22,Version:Hardware,R,ver,type.version.revision,-,,,Hardware version,,,-
35,0x23,Version:Software,R,ver,major.minor.patch,-,,,Firmware version,,,-
36,0x24,Digital:InputState,R,?bool,-,-,,,Digital input state,,,-
37,0x25,Digital:RelayState,R,?bool,-,-,,,Relay output state,,,-
38,0x26,AnalogInput:Value,R,?uint,V,1000,,,Analog input voltage,,,-
